,학교명주소,총인원남학생여학생,"과학고외고/국제고자사고기타계(외국,영재,유학,대안)",특목고계특목고비율
9,영중중학교경기도 포천시 영중면,30 명15 명15 명,0 명0 명0 명0 명,0 명0.00 %
10,관인중학교경기도 포천시 관인면 탄동리,24 명12 명12 명,0 명0 명0 명0 명,0 명0.00 %
11,동남중학교경기도 포천시 소흘읍 송우리,191 명95 명96 명,0 명0 명0 명2 명,0 명0.00 %
12,영북중학교경기도 포천시 영북면 운천리,52 명32 명20 명,0 명0 명0 명0 명,0 명0.00 %
13,이동중학교경기도 포천시 이동면 장암리,55 명39 명16 명,0 명0 명0 명0 명,0 명0.00 %
0,안일중학교경기도 평택시 안중읍 현화리,321 명134 명187 명,0 명3 명0 명0 명,3 명0.93 %
1,이충중학교경기도 평택시 이충동,249 명129 명120 명,0 명2 명0 명0 명,2 명0.80 %
2,청담중학교경기도 평택시 팽성읍 남산리,136 명69 명67 명,0 명1 명0 명0 명,1 명0.74 %
3,한광중학교경기도 평택시 비전동,282 명282 명0 명,2 명0 명2 명0 명,2 명0.71 %
4,장당중학교경기도 평택시 장당동,210 명108 명102 명,0 명1 명3 명5 명,1 명0.48 %
5,효명중학교경기도 평택시 장당동,270 명143 명127 명,0 명1 명0 명0 명,1 명0.37 %
6,현화중학교경기도 평택시 안중읍 현화리,290 명123 명167 명,0 명1 명0 명0 명,1 명0.34 %
7,평택중학교경기도 평택시 비전동,291 명291 명0 명,0 명1 명1 명0 명,1 명0.34 %
8,비전중학교경기도 평택시 비전동,332 명123 명209 명,0 명1 명0 명0 명,1 명0.30 %
9,라온중학교경기도 평택시 서정동,216 명118 명98 명,0 명0 명0 명0 명,0 명0.00 %
10,신한중학교경기도 평택시 비전동,315 명315 명0 명,0 명0 명1 명3 명,0 명0.00 %
11,안중중학교경기도 평택시 안중읍 현화리,95 명95 명0 명,0 명0 명0 명1 명,0 명0.00 %
12,은혜중학교경기도 평택시 장안동,239 명123 명116 명,0 명0 명0 명1 명,0 명0.00 %
13,태광중학교경기도 평택시 신장동,239 명128 명111 명,0 명0 명0 명0 명,0 명0.00 %
14,한광여자중학교경기도 평택시 비전동,282 명0 명282 명,0 명0 명0 명1 명,0 명0.00 %
15,세교중학교경기도 평택시 세교동,293 명104 명189 명,0 명0 명0 명0 명,0 명0.00 %
16,송탄중학교경기도 평택시 지산동,200 명107 명93 명,0 명0 명1 명0 명,0 명0.00 %
17,도곡중학교경기도 평택시 포승읍 도곡리,144 명72 명72 명,0 명0 명0 명3 명,0 명0.00 %
18,오성중학교경기도 평택시 오성면 숙성리,71 명37 명34 명,0 명0 명0 명1 명,0 명0.00 %
19,청옥중학교경기도 평택시 청북읍 옥길리,138 명75 명63 명,0 명0 명1 명0 명,0 명0.00 %
0,한빛중학교경기도 파주시 야당동,403 명201 명202 명,2 명13 명3 명1 명,15 명3.72 %
1,금촌중학교경기도 파주시 금릉동,306 명157 명149 명,0 명8 명1 명1 명,8 명2.61 %
2,금릉중학교경기도 파주시 금촌동,319 명167 명152 명,1 명5 명1 명0 명,6 명1.88 %
3,교하중학교경기도 파주시 동패동,285 명142 명143 명,1 명4 명1 명0 명,5 명1.75 %
4,지산중학교경기도 파주시 와동동,368 명199 명169 명,0 명6 명0 명0 명,6 명1.63 %
5,봉일천중학교경기도 파주시 조리읍 봉일천리,310 명156 명154 명,0 명5 명2 명0 명,5 명1.61 %
6,한가람중학교경기도 파주시 와동동,368 명192 명176 명,0 명5 명1 명1 명,5 명1.36 %
7,두일중학교경기도 파주시 동패동,303 명152 명151 명,0 명4 명1 명6 명,4 명1.32 %
8,문산중학교경기도 파주시 야동동,333 명173 명160 명,0 명3 명0 명0 명,3 명0.90 %
9,파주광일중학교경기도 파주시 월롱면,128 명59 명69 명,0 명1 명0 명0 명,1 명0.78 %
10,동패중학교경기도 파주시 동패동,220 명119 명101 명,0 명1 명0 명0 명,1 명0.45 %
11,해솔중학교경기도 파주시 목동동,247 명125 명122 명,0 명1 명0 명2 명,1 명0.40 %
12,문산북중학교경기도 파주시 문산읍 당동리,109 명74 명35 명,0 명0 명0 명1 명,0 명0.00 %
13,선유중학교경기도 파주시 문산읍 선유리,92 명56 명36 명,0 명0 명0 명1 명,0 명0.00 %
14,어유중학교경기도 파주시 적성면 어유지리,8 명2 명6 명,0 명0 명0 명0 명,0 명0.00 %
15,파주중학교경기도 파주시 파주읍 연풍리,57 명29 명28 명,0 명0 명0 명1 명,0 명0.00 %
16,탄현중학교경기도 파주시 탄현면 축현리,111 명66 명45 명,0 명0 명0 명0 명,0 명0.00 %
17,광탄중학교경기도 파주시 광탄면 신산리,118 명78 명40 명,0 명0 명0 명2 명,0 명0.00 %
18,문산동중학교경기도 파주시 문산읍 문산리,61 명41 명20 명,0 명0 명0 명0 명,0 명0.00 %
19,문산수억중학교경기도 파주시 파주읍 봉서리,198 명81 명117 명,0 명0 명0 명0 명,0 명0.00 %
0,백사중학교경기도 이천시 백사면 신대리,47 명26 명21 명,0 명1 명0 명0 명,1 명2.13 %
1,이천사동중학교경기도 이천시 대월면 사동리,238 명127 명111 명,0 명2 명0 명0 명,2 명0.84 %
2,장호원중학교경기도 이천시 장호원읍 노탑리,189 명92 명97 명,0 명1 명0 명0 명,1 명0.53 %
3,효양중학교경기도 이천시 부발읍 산촌리,235 명130 명105 명,0 명0 명0 명1 명,0 명0.00 %
4,대월중학교경기도 이천시 대월면 초지리,54 명29 명25 명,0 명0 명0 명0 명,0 명0.00 %
5,모가중학교경기도 이천시 모가면 진가리,39 명22 명17 명,0 명0 명0 명0 명,0 명0.00 %
6,부발중학교경기도 이천시 부발읍 무촌리,95 명46 명49 명,0 명0 명0 명0 명,0 명0.00 %
7,율면중학교경기도 이천시 율면 고당리,13 명1 명12 명,0 명0 명0 명0 명,0 명0.00 %
8,이천양정여자중학교경기도 이천시 관고동,209 명0 명209 명,0 명0 명0 명2 명,0 명0.00 %
9,증포중학교경기도 이천시 증포동,387 명201 명186 명,0 명0 명3 명0 명,0 명0.00 %
10,이천경남중학교경기도 이천시 설성면 금당리,18 명13 명5 명,0 명0 명0 명0 명,0 명0.00 %
11,마장중학교경기도 이천시 마장면 양촌리,41 명20 명21 명,0 명0 명0 명0 명,0 명0.00 %
12,설봉중학교경기도 이천시 창전동,324 명128 명196 명,0 명0 명1 명0 명,0 명0.00 %
13,이천송정중학교경기도 이천시 송정동,250 명136 명114 명,0 명0 명1 명0 명,0 명0.00 %
14,이천중학교경기도 이천시 안흥동,269 명269 명0 명,0 명0 명0 명0 명,0 명0.00 %
0,경민여자중학교경기도 의정부시 가능동,145 명0 명145 명,0 명6 명0 명0 명,6 명4.14 %
1,녹양중학교경기도 의정부시 녹양동,184 명105 명79 명,0 명5 명0 명0 명,5 명2.72 %
2,회룡중학교경기도 의정부시 호원동,334 명175 명159 명,0 명9 명0 명0 명,9 명2.69 %
3,동암중학교경기도 의정부시 장암동,336 명152 명184 명,2 명7 명3 명0 명,9 명2.68 %
4,민락중학교경기도 의정부시 민락동,216 명95 명121 명,1 명4 명0 명0 명,5 명2.31 %
5,천보중학교경기도 의정부시 금오동,363 명194 명169 명,2 명6 명0 명0 명,8 명2.20 %
6,신곡중학교경기도 의정부시 신곡동,332 명157 명175 명,0 명7 명2 명1 명,7 명2.11 %
7,의정부중학교경기도 의정부시 가능동,192 명192 명0 명,0 명4 명0 명0 명,4 명2.08 %
8,발곡중학교경기도 의정부시 신곡동,391 명221 명170 명,0 명8 명0 명0 명,8 명2.05 %
9,효자중학교경기도 의정부시 신곡동,321 명146 명175 명,0 명6 명0 명2 명,6 명1.87 %
10,경민중학교경기도 의정부시 가능3동,122 명122 명0 명,2 명0 명4 명0 명,2 명1.64 %
11,부용중학교경기도 의정부시 민락동,244 명107 명137 명,0 명4 명0 명0 명,4 명1.64 %
12,호원중학교경기도 의정부시 호원동,393 명207 명186 명,1 명5 명2 명3 명,6 명1.53 %
13,금오중학교경기도 의정부시 금오동,264 명134 명130 명,0 명4 명0 명1 명,4 명1.52 %
14,충의중학교경기도 의정부시 민락동,346 명194 명152 명,2 명2 명1 명4 명,4 명1.16 %
15,솔뫼중학교경기도 의정부시 용현동,190 명96 명94 명,0 명2 명0 명0 명,2 명1.05 %
16,의정부여자중학교경기도 의정부시 가능동,181 명0 명181 명,0 명1 명0 명1 명,1 명0.55 %
17,송양중학교경기도 의정부시 낙양동,66 명40 명26 명,0 명0 명0 명0 명,0 명0.00 %
18,다온중학교경기도 의정부시 가능동,178 명119 명59 명,0 명0 명0 명0 명,0 명0.00 %
0,고천중학교경기도 의왕시 오전동,85 명45 명40 명,1 명3 명0 명0 명,4 명4.71 %
1,덕장중학교경기도 의왕시 청계동,99 명47 명52 명,0 명4 명1 명0 명,4 명4.04 %
2,모락중학교경기도 의왕시 오전동,279 명140 명139 명,2 명8 명1 명1 명,10 명3.58 %
3,갈뫼중학교경기도 의왕시 내손동,319 명178 명141 명,1 명10 명4 명0 명,11 명3.45 %
4,의왕중학교경기도 의왕시 오전동,216 명115 명101 명,0 명6 명4 명0 명,6 명2.78 %
5,백운중학교경기도 의왕시 포일동,136 명68 명68 명,0 명3 명1 명0 명,3 명2.21 %
6,의왕부곡중학교경기도 의왕시 월암동,247 명128 명119 명,0 명2 명0 명0 명,2 명0.81 %
0,이현중학교경기도 용인시 수지구 풍덕천동,353 명178 명175 명,4 명15 명5 명0 명,19 명5.38 %
1,용인대덕중학교경기도 용인시 수지구 죽전동,244 명133 명111 명,4 명7 명4 명0 명,11 명4.51 %
2,성복중학교경기도 용인시 수지구 성복동,273 명139 명134 명,1 명11 명16 명3 명,12 명4.40 %
3,상현중학교경기도 용인시 수지구 상현동,263 명129 명134 명,2 명9 명3 명0 명,11 명4.18 %
4,흥덕중학교경기도 용인시 기흥구 영덕동,373 명203 명170 명,5 명9 명3 명0 명,14 명3.75 %
5,용인신촌중학교경기도 용인시 기흥구 보정동,355 명202 명153 명,0 명13 명18 명3 명,13 명3.66 %
6,신봉중학교경기도 용인시 수지구 신봉동,86 명35 명51 명,0 명3 명1 명1 명,3 명3.49 %
7,수지중학교경기도 용인시 수지구 풍덕천동,380 명199 명181 명,3 명8 명3 명0 명,11 명2.89 %
8,현암중학교경기도 용인시 수지구 죽전동,141 명81 명60 명,0 명4 명2 명1 명,4 명2.84 %
9,용인한빛중학교경기도 용인시 수지구 동천동,112 명55 명57 명,0 명3 명3 명0 명,3 명2.68 %
10,태성중학교경기도 용인시 처인구 남동,115 명115 명0 명,0 명3 명1 명0 명,3 명2.61 %
11,초당중학교경기도 용인시 기흥구 중동,386 명204 명182 명,1 명9 명16 명1 명,10 명2.59 %
12,정평중학교경기도 용인시 수지구 풍덕천동,362 명196 명166 명,5 명4 명5 명0 명,9 명2.49 %
13,서원중학교경기도 용인시 수지구 상현동,367 명187 명180 명,2 명7 명8 명0 명,9 명2.45 %
14,언동중학교경기도 용인시기흥구 언남동,164 명84 명80 명,0 명4 명1 명1 명,4 명2.44 %
15,홍천중학교경기도 용인시 수지구 신봉동,294 명150 명144 명,3 명4 명7 명0 명,7 명2.38 %
16,죽전중학교경기도 용인시 수지구 죽전동,259 명140 명119 명,2 명4 명10 명0 명,6 명2.32 %
17,소현중학교경기도 용인시 기흥구 보정동,222 명113 명109 명,0 명5 명1 명0 명,5 명2.25 %
18,손곡중학교경기도 용인시 수지구 동천동,223 명122 명101 명,2 명3 명5 명0 명,5 명2.24 %
19,용인백현중학교경기도 용인시 기흥구 동백동,314 명142 명172 명,1 명6 명7 명0 명,7 명2.23 %
0,문시중학교경기도 오산시 금암동,303 명147 명156 명,0 명4 명0 명0 명,4 명1.32 %
1,오산중학교경기도 오산시 청학동,325 명178 명147 명,0 명4 명0 명0 명,4 명1.23 %
2,운암중학교경기도 오산시 원동,217 명104 명113 명,0 명2 명0 명0 명,2 명0.92 %
3,매홀중학교경기도 오산시 수청동,116 명44 명72 명,0 명1 명0 명0 명,1 명0.86 %
4,오산원일중학교경기도 오산시 원동,343 명169 명174 명,0 명2 명16 명1 명,2 명0.58 %
5,운천중학교경기도 오산시 오산동,378 명179 명199 명,0 명2 명4 명5 명,2 명0.53 %
6,세마중학교경기도 오산시 세교동,218 명114 명104 명,0 명1 명1 명0 명,1 명0.46 %
7,대호중학교경기도 오산시 궐동,229 명129 명100 명,0 명1 명2 명1 명,1 명0.44 %
8,성호중학교경기도 오산시 원동,281 명165 명116 명,0 명0 명1 명0 명,0 명0.00 %
0,군남중학교경기도 연천군 군남면 진상리,25 명9 명16 명,0 명1 명0 명0 명,1 명4.00 %
1,전곡중학교경기도 연천군 전곡읍 전곡리,258 명147 명111 명,0 명1 명0 명0 명,1 명0.39 %
2,대광중학교경기도 연천군 신서면,17 명11 명6 명,0 명0 명0 명0 명,0 명0.00 %
3,연천중학교경기도 연천군 연천읍 현가리,54 명29 명25 명,0 명0 명0 명0 명,0 명0.00 %
4,청산중학교경기도 연천군 청산면 궁평리,24 명16 명8 명,0 명0 명0 명0 명,0 명0.00 %
5,백학중학교경기도 연천군 백학면,21 명11 명10 명,0 명0 명0 명0 명,0 명0.00 %
0,세종중학교경기도 여주시 교동,349 명211 명138 명,0 명3 명0 명0 명,3 명0.86 %
1,여주제일중학교경기도 여주시 가남읍 심석리,131 명61 명70 명,1 명0 명0 명0 명,1 명0.76 %
2,여주여자중학교경기도 여주시 상동,192 명0 명192 명,0 명1 명0 명0 명,1 명0.52 %
3,대신중학교경기도 여주시 대신면 후포리,21 명21 명0 명,0 명0 명0 명0 명,0 명0.00 %
4,세정중학교경기도 여주시 능서면 매류리,16 명7 명9 명,0 명0 명0 명0 명,0 명0.00 %
5,여주중학교경기도 여주시 능서면 왕대리,144 명144 명0 명,0 명0 명0 명0 명,0 명0.00 %
6,점동중학교경기도 여주시 점동면 청안리,36 명22 명14 명,0 명0 명0 명1 명,0 명0.00 %
7,흥천중학교경기도 여주시 흥천면 효지리,15 명7 명8 명,0 명0 명0 명0 명,0 명0.00 %
8,강천중학교경기도 여주시 강천면 간매리,28 명15 명13 명,0 명0 명0 명0 명,0 명0.00 %
9,상품중학교경기도 여주시 산북면 상품리,21 명11 명10 명,0 명0 명0 명0 명,0 명0.00 %
10,여강중학교경기도 여주시 북내면 신접리,50 명27 명23 명,0 명0 명0 명0 명,0 명0.00 %
11,이포중학교경기도 여주시 흥천면 계신리,20 명10 명10 명,0 명0 명0 명0 명,0 명0.00 %
12,창명여자중학교경기도 여주시 대신면 율촌리,19 명0 명19 명,0 명0 명0 명0 명,0 명0.00 %
0,서종중학교경기도 양평군 서종면 문호리,63 명32 명31 명,0 명1 명0 명1 명,1 명1.59 %
1,양평중학교경기도 양평군 양평읍 공흥리,240 명129 명111 명,0 명2 명0 명1 명,2 명0.83 %
2,개군중학교경기도 양평군 개군면 하자포리,35 명21 명14 명,0 명0 명0 명0 명,0 명0.00 %
3,양수중학교경기도 양평군 양서면 용담리,46 명26 명20 명,0 명0 명0 명0 명,0 명0.00 %
4,양일중학교경기도 양평군 양평읍,256 명132 명124 명,0 명0 명0 명0 명,0 명0.00 %
5,용문중학교경기도 양평군 용문면 마룡리,140 명81 명59 명,0 명0 명0 명0 명,0 명0.00 %
6,청운중학교경기도 양평군 청운면 용두리,26 명17 명9 명,0 명0 명0 명0 명,0 명0.00 %
7,강하중학교경기도 양평군 강하면 왕창리,18 명16 명2 명,0 명0 명0 명0 명,0 명0.00 %
8,국수중학교경기도 양평군 양서면 국수리,28 명19 명9 명,0 명0 명0 명0 명,0 명0.00 %
9,단월중학교경기도 양평군 단월면 보룡리,29 명16 명13 명,0 명0 명0 명7 명,0 명0.00 %
10,양동중학교경기도 양평군 양동면 쌍학리,20 명14 명6 명,0 명0 명0 명1 명,0 명0.00 %
11,지평중학교경기도 양평군 지평면 지평리,49 명26 명23 명,0 명0 명1 명0 명,0 명0.00 %
0,옥정중학교경기도 양주시 옥정동,25 명12 명13 명,0 명1 명0 명0 명,1 명4.00 %
1,남문중학교경기도 양주시 남면 신산리,61 명36 명25 명,0 명2 명0 명0 명,2 명3.28 %
2,덕현중학교경기도 양주시 고읍동,415 명203 명212 명,1 명12 명1 명2 명,13 명3.13 %
3,고암중학교경기도 양주시 덕정동,342 명172 명170 명,1 명8 명0 명0 명,9 명2.63 %
4,삼숭중학교경기도 양주시 삼숭동,295 명148 명147 명,1 명3 명1 명1 명,4 명1.36 %
5,회천중학교경기도 양주시 고암동,285 명163 명122 명,0 명3 명0 명0 명,3 명1.05 %
6,덕정중학교경기도 양주시 덕정동,197 명89 명108 명,0 명2 명0 명0 명,2 명1.02 %
7,양주백석중학교경기도 양주시 백석읍 복지리,295 명140 명155 명,0 명2 명2 명0 명,2 명0.68 %
8,조양중학교경기도 양주시 광적면 광석리,98 명51 명47 명,0 명0 명0 명0 명,0 명0.00 %
9,덕계중학교경기도 양주시 덕계동,155 명87 명68 명,0 명0 명0 명0 명,0 명0.00 %
0,귀인중학교경기도 안양시 동안구 평촌동,358 명176 명182 명,2 명24 명11 명2 명,26 명7.26 %
1,대안중학교경기도 안양시 동안구 호계동,225 명225 명0 명,5 명11 명3 명0 명,16 명7.11 %
2,범계중학교경기도 안양시 동안구 호계동,326 명166 명160 명,8 명13 명7 명1 명,21 명6.44 %
3,대안여자중학교경기도 안양시 동안구 호계동,205 명0 명205 명,1 명11 명1 명2 명,12 명5.85 %
4,평촌중학교경기도 안양시 동안구 평촌동,461 명222 명239 명,3 명22 명10 명1 명,25 명5.42 %
5,신기중학교경기도 안양시 동안구 호계동,269 명148 명121 명,2 명10 명4 명1 명,12 명4.46 %
6,비산중학교경기도 안양시 동안구 비산동,314 명170 명144 명,2 명11 명1 명0 명,13 명4.14 %
7,임곡중학교경기도 안양시 동안구 비산동,319 명156 명163 명,0 명13 명4 명0 명,13 명4.08 %
8,부안중학교경기도 안양시 동안구 관양동,179 명91 명88 명,0 명6 명0 명1 명,6 명3.35 %
9,관양중학교경기도 안양시 동안구 관양동,253 명120 명133 명,0 명8 명0 명1 명,8 명3.16 %
10,안양부흥중학교경기도 안양시동안구 비산동,359 명216 명143 명,2 명9 명6 명0 명,11 명3.06 %
11,인덕원중학교경기도 안양시 동안구 관양동,176 명83 명93 명,0 명5 명1 명0 명,5 명2.84 %
12,신성중학교경기도 안양시 만안구 안양동,326 명216 명110 명,0 명9 명3 명0 명,9 명2.76 %
13,부림중학교경기도 안양시 동안구 관양동,437 명209 명228 명,2 명10 명11 명0 명,12 명2.75 %
14,호성중학교경기도 안양시 동안구 호계동,299 명174 명125 명,1 명7 명3 명0 명,8 명2.68 %
15,연현중학교경기도 안양시 만안구 석수동,354 명199 명155 명,2 명7 명4 명0 명,9 명2.54 %
16,안양여자중학교경기도 안양시 만안구 안양동,176 명0 명176 명,0 명4 명1 명0 명,4 명2.27 %
17,근명중학교경기도 안양시 만안구 안양동,288 명138 명150 명,0 명6 명1 명0 명,6 명2.08 %
18,호계중학교경기도 안양시 동안구 호계동,288 명146 명142 명,0 명6 명6 명0 명,6 명2.08 %
19,성문중학교경기도 안양시 만안구 안양동,100 명41 명59 명,0 명2 명0 명0 명,2 명2.00 %
0,명륜여자중학교경기도 안성시 낙원동,198 명0 명198 명,0 명4 명0 명2 명,4 명2.02 %
1,비룡중학교경기도 안성시 당왕동,200 명109 명91 명,0 명4 명0 명0 명,4 명2.00 %
2,공도중학교경기도 안성시 공도읍 만정리,279 명145 명134 명,0 명2 명0 명0 명,2 명0.72 %
3,만정중학교경기도 안성시 공도읍 만정리,280 명147 명133 명,0 명1 명0 명0 명,1 명0.36 %
4,안성여자중학교경기도 안성시 봉남동,200 명0 명200 명,0 명0 명0 명0 명,0 명0.00 %
5,안청중학교경기도 안성시 당왕동,206 명206 명0 명,0 명0 명0 명0 명,0 명0.00 %
6,일죽중학교경기도 안성시 일죽면 송천리,39 명25 명14 명,0 명0 명0 명0 명,0 명0.00 %
7,한겨레중학교경기도 안성시 죽산면 칠장리,40 명18 명22 명,0 명0 명0 명0 명,0 명0.00 %
8,양진중학교경기도 안성시 공도읍 진사리,241 명122 명119 명,0 명0 명0 명2 명,0 명0.00 %
9,서운중학교경기도 안성시 서운면 인리,44 명29 명15 명,0 명0 명0 명0 명,0 명0.00 %
10,안성중학교경기도 안성시 금산동,243 명243 명0 명,0 명0 명2 명0 명,0 명0.00 %
11,양성중학교경기도 안성시 양성면 동항리,26 명13 명13 명,0 명0 명0 명0 명,0 명0.00 %
12,죽산중학교경기도 안성시 죽산면 죽산리,62 명35 명27 명,0 명0 명0 명0 명,0 명0.00 %
0,안산해양중학교경기도 안산시 상록구 사동,230 명111 명119 명,0 명6 명5 명0 명,6 명2.61 %
1,신길중학교경기도 안산시 단원구 신길동,266 명136 명130 명,0 명6 명3 명1 명,6 명2.26 %
2,성포중학교경기도 안산시 상록구 월피동,317 명142 명175 명,0 명7 명0 명0 명,7 명2.21 %
3,양지중학교경기도 안산시 단원구 고잔동,365 명188 명177 명,0 명8 명22 명5 명,8 명2.19 %
4,중앙중학교경기도 안산시 단원구 고잔동,418 명223 명195 명,1 명8 명13 명1 명,9 명2.15 %
5,별망중학교경기도 안산시 단원구 초지동,314 명162 명152 명,0 명6 명11 명0 명,6 명1.91 %
6,원일중학교경기도 안산시 단원구 선부동,297 명140 명157 명,0 명5 명1 명1 명,5 명1.68 %
7,안산성호중학교경기도 안산시상록구 일동,311 명168 명143 명,0 명5 명4 명0 명,5 명1.61 %
8,와동중학교경기도 안산시 단원구 와동,259 명147 명112 명,0 명4 명1 명0 명,4 명1.54 %
9,상록중학교경기도 안산시 상록구 본오동,476 명219 명257 명,1 명6 명8 명0 명,7 명1.47 %
10,반월중학교경기도 안산시 상록구 팔곡일동,141 명69 명72 명,0 명2 명3 명0 명,2 명1.42 %
11,송호중학교경기도 안산시 단원구 고잔동,299 명170 명129 명,0 명4 명1 명0 명,4 명1.34 %
12,석수중학교경기도 안산시 단원구 선부동,227 명126 명101 명,0 명3 명4 명0 명,3 명1.32 %
13,성안중학교경기도 안산시 상록구 사동,392 명220 명172 명,0 명5 명16 명0 명,5 명1.28 %
14,시곡중학교경기도 안산시 상록구 사동,478 명242 명236 명,0 명6 명33 명0 명,6 명1.26 %
15,선부중학교경기도 안산시 단원구 선부동,323 명172 명151 명,0 명4 명0 명0 명,4 명1.24 %
16,안산중학교경기도 안산시상록구 장상동,85 명46 명39 명,0 명1 명1 명3 명,1 명1.18 %
17,단원중학교경기 안산시 단원구 고잔동,301 명163 명138 명,0 명3 명1 명1 명,3 명1.00 %
18,초지중학교경기도 안산시 단원구 초지동,321 명157 명164 명,0 명3 명17 명1 명,3 명0.93 %
19,광덕중학교경기도 안산시 상록구 월피동,218 명104 명114 명,0 명2 명5 명0 명,2 명0.92 %
0,월곶중학교경기도 시흥시 월곶동,132 명73 명59 명,0 명4 명0 명0 명,4 명3.03 %
1,시흥은행중학교경기도 시흥시 은행동,338 명166 명172 명,1 명7 명2 명1 명,8 명2.37 %
2,대흥중학교경기도 시흥시 대야동,175 명94 명81 명,0 명4 명1 명0 명,4 명2.29 %
3,함현중학교경기도 시흥시 정왕동,271 명148 명123 명,0 명4 명0 명0 명,4 명1.48 %
4,은계중학교경기도 시흥시 계수동,279 명137 명142 명,0 명4 명1 명0 명,4 명1.43 %
5,응곡중학교경기도 시흥시 장곡동,224 명125 명99 명,1 명2 명0 명2 명,3 명1.34 %
6,배곧중학교경기도 시흥시 정왕동,75 명34 명41 명,0 명1 명1 명0 명,1 명1.33 %
7,소래중학교경기도 시흥시 은행동,409 명219 명190 명,1 명4 명0 명0 명,5 명1.22 %
8,신천중학교경기도 시흥시 신천동,203 명119 명84 명,0 명2 명2 명0 명,2 명0.99 %
9,논곡중학교경기도 시흥시 논곡동,107 명53 명54 명,0 명1 명0 명1 명,1 명0.93 %
10,연성중학교경기도 시흥시 하상동,327 명187 명140 명,1 명2 명4 명1 명,3 명0.92 %
11,시흥능곡중학교경기도 시흥시 능곡동,240 명107 명133 명,0 명2 명2 명1 명,2 명0.83 %
12,군서중학교경기도 시흥시 정왕동,168 명91 명77 명,0 명1 명1 명4 명,1 명0.60 %
13,송운중학교경기도 시흥시 정왕동,288 명141 명147 명,0 명1 명3 명0 명,1 명0.35 %
14,한국글로벌중학교경기도 시흥시 과림동,29 명16 명13 명,0 명0 명0 명0 명,0 명0.00 %
15,시흥중학교경기도 시흥시 정왕동,258 명140 명118 명,0 명0 명4 명8 명,0 명0.00 %
16,정왕중학교경기도 시흥시 정왕동,206 명118 명88 명,0 명0 명0 명9 명,0 명0.00 %
17,시화중학교경기도 시흥시 정왕동,170 명86 명84 명,0 명0 명0 명6 명,0 명0.00 %
18,군자중학교경기도 시흥시 거모동,291 명157 명134 명,0 명0 명1 명4 명,0 명0.00 %
19,서해중학교경기도 시흥시 정왕동,217 명106 명111 명,0 명0 명3 명0 명,0 명0.00 %
0,광교중학교경기도 수원시 영통구 이의동,110 명55 명55 명,0 명6 명0 명0 명,6 명5.45 %
1,산남중학교경기도 수원시 영통구 매탄동,360 명203 명157 명,6 명12 명3 명0 명,18 명5.00 %
2,청명중학교경기도 수원시 영통구 영통동,240 명114 명126 명,4 명6 명3 명1 명,10 명4.17 %
3,연무중학교경기도 수원시 영통구 이의동,305 명146 명159 명,1 명10 명6 명5 명,11 명3.61 %
4,이의중학교경기도 수원시 영통구 하동,171 명93 명78 명,1 명5 명2 명0 명,6 명3.51 %
5,동성중학교경기도 수원시 팔달구 우만동,287 명163 명124 명,0 명10 명2 명1 명,10 명3.48 %
6,영일중학교경기도 수원시 영통구 영통동,249 명128 명121 명,3 명5 명8 명1 명,8 명3.21 %
7,수원다산중학교경기도 수원시 영통구 이의동,266 명139 명127 명,1 명7 명5 명5 명,8 명3.01 %
8,수일여자중학교경기도 수원시 장안구 조원동,234 명0 명234 명,0 명7 명0 명0 명,7 명2.99 %
9,정천중학교경기도 수원시 팔달구 화서동,280 명148 명132 명,1 명7 명4 명1 명,8 명2.86 %
10,세류중학교경기도 수원시 권선구 세류동,122 명57 명65 명,0 명3 명0 명0 명,3 명2.46 %
11,율현중학교경기도 수원시 팔달구 화서동,416 명223 명193 명,2 명8 명3 명0 명,10 명2.40 %
12,천천중학교경기도 수원시 장안구 천천동,461 명231 명230 명,2 명9 명4 명6 명,11 명2.39 %
13,수일중학교경기도 수원시 장안구 파장동,173 명173 명0 명,0 명4 명5 명2 명,4 명2.31 %
14,매현중학교경기도 수원시영통구 매탄동,270 명153 명117 명,0 명6 명2 명0 명,6 명2.22 %
15,대평중학교경기도 수원시 장안구 정자동,461 명246 명215 명,2 명8 명3 명2 명,10 명2.17 %
16,영덕중학교경기도 수원시 영통구 영통동,376 명215 명161 명,2 명6 명12 명0 명,8 명2.13 %
17,이목중학교경기도 수원시 장안구 이목동,292 명162 명130 명,1 명5 명3 명4 명,6 명2.05 %
18,수원원일중학교경기도 수원시 영통구 매탄동,266 명143 명123 명,0 명5 명0 명0 명,5 명1.88 %
19,망포중학교경기도 수원시 영통구 망포동,342 명177 명165 명,2 명4 명5 명2 명,6 명1.75 %
0,송림중학교경기도 성남시 분당구 이매동,157 명86 명71 명,1 명8 명1 명0 명,9 명5.73 %
1,매송중학교경기도 성남시 분당구 이매동,218 명133 명85 명,1 명11 명1 명2 명,12 명5.50 %
2,내정중학교경기도 성남시 분당구 수내동,400 명222 명178 명,8 명14 명12 명0 명,22 명5.50 %
3,운중중학교경기도 성남시 분당구 운중동,207 명113 명94 명,4 명7 명4 명0 명,11 명5.31 %
4,정자중학교경기도 성남시 분당구 정자동,176 명80 명96 명,1 명8 명2 명0 명,9 명5.11 %
5,백현중학교경기도 성남시 분당구 정자동,284 명142 명142 명,1 명13 명6 명0 명,14 명4.93 %
