,학교명주소,총인원남학생여학생,"과학고외고/국제고자사고기타계(외국,영재,유학,대안)",특목고계특목고비율
4,창녕옥야중학교경상남도 창녕군 이방면 장천리,20 명11 명9 명,0 명0 명0 명0 명,0 명0.00 %
5,창녕중학교경상남도 창녕군 창녕읍 말흘리,112 명112 명0 명,0 명0 명0 명0 명,0 명0.00 %
6,남지여자중학교경상남도 창녕군 남지읍 마산리,55 명0 명55 명,0 명0 명0 명0 명,0 명0.00 %
7,대성중학교경상남도 창녕군 대합면,5 명3 명2 명,0 명0 명0 명0 명,0 명0.00 %
8,성산중학교경상남도 창녕군 성산면 정녕리,28 명26 명2 명,0 명0 명0 명0 명,0 명0.00 %
9,창녕여자중학교경상남도 창녕군 창녕읍 말흘리,54 명0 명54 명,0 명0 명0 명0 명,0 명0.00 %
0,진주남중학교경상남도 진주시 칠암동,261 명261 명0 명,6 명1 명1 명0 명,7 명2.68 %
1,경상대학교사범대학부설중학교경상남도 진주시 가좌동,196 명70 명126 명,2 명2 명1 명0 명,4 명2.04 %
2,진주제일중학교경상남도 진주시 평거동,261 명261 명0 명,4 명1 명2 명0 명,5 명1.92 %
3,진주동중학교경상남도 진주시 금산면 중천리,351 명182 명169 명,2 명4 명4 명2 명,6 명1.71 %
4,경해여자중학교경상남도 진주시 평거동,300 명0 명300 명,2 명3 명0 명1 명,5 명1.67 %
5,진주중학교경상남도 진주시 상봉동,248 명248 명0 명,3 명0 명1 명0 명,3 명1.21 %
6,진명여자중학교경상남도 진주시 하대동,292 명0 명292 명,1 명2 명2 명2 명,3 명1.03 %
7,진주동명중학교경상남도 진주시 초전동,300 명300 명0 명,2 명1 명3 명4 명,3 명1.00 %
8,진주중앙중학교경상남도 진주시 하대동,248 명248 명0 명,2 명0 명0 명1 명,2 명0.81 %
9,대아중학교경상남도 진주시 이현동,292 명292 명0 명,2 명0 명0 명0 명,2 명0.68 %
10,삼현여자중학교경상남도 진주시 상평동,368 명0 명368 명,0 명2 명1 명2 명,2 명0.54 %
