,학교명주소,서울대 계수시정시	,KAIST 계수시정시,서울대 + KAIST,서울대 계수시정시
10,대동고등학교(일반고)경상북도 포항시 북구 우현동,1 명0 명1 명,0 명0 명0 명,1 명,
11,포항장성고등학교(일반고)경상북도 포항시 북구 장성동,1 명1 명0 명,0 명0 명0 명,1 명,
12,포항여자고등학교(일반고)경상북도 포항시 북구 학산동,0 명0 명0 명,0 명0 명0 명,0 명,
13,유성여자고등학교(일반고)경상북도 포항시 북구 우현동,0 명0 명0 명,0 명0 명0 명,0 명,
14,포항예술고등학교(예술고)경상북도 포항시북구 흥해읍 대련리,0 명0 명0 명,0 명0 명0 명,0 명,
15,동지여자고등학교(일반고)경상북도 포항시 북구 용흥동,0 명0 명0 명,0 명0 명0 명,0 명,
16,오천고등학교(일반고)경상북도 포항시 남구 오천읍 용덕리,0 명0 명0 명,0 명0 명0 명,0 명,
17,두호고등학교(일반고)경상북도 포항시 북구 두호동,0 명0 명0 명,0 명0 명0 명,0 명,
18,포항이동고등학교(일반고)경상북도 포항시 남구 이동,0 명0 명0 명,0 명0 명0 명,0 명,
0,순심고등학교(일반고)경상북도 칠곡군 왜관읍,1 명1 명0 명,0 명0 명0 명,1 명,
1,순심여자고등학교(일반고)경상북도 칠곡군 왜관읍 왜관리,1 명1 명0 명,0 명0 명0 명,1 명,
2,북삼고등학교(자율형공립고)경상북도 칠곡군 북삼읍 인평리,0 명0 명0 명,0 명0 명0 명,0 명,
0,이서고등학교(일반고)경상북도 청도군 이서면 서원리,1 명1 명0 명,0 명0 명0 명,1 명,
1,청도고등학교(일반고)경상북도 청도군 청도읍 고수리,1 명1 명0 명,0 명0 명0 명,1 명,
2,모계고등학교(일반고)경상북도 청도군 화양읍 범곡리,0 명0 명0 명,0 명0 명0 명,0 명,
0,대창고등학교(일반고)경상북도 예천군 예천읍 노상리,0 명0 명0 명,0 명0 명0 명,0 명,
0,선화여자고등학교(일반고)경상북도 영천시 화룡동,2 명2 명0 명,0 명0 명0 명,2 명,
