,0,거래금액,건축년도,년,도로명,도로명건물본번호코드,도로명건물부번호코드,도로명시군구코드,도로명일련번호코드,도로명코드,법정동,법정동본번코드,법정동부번코드,법정동시군구코드,법정동읍면동코드,법정동지번코드,아파트,월,일,일련번호,전용면적,지번,지역코드,층,해제사유발생일,해제여부,도로명지상지하코드
0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
100,,"5,320",1998,2017,피일길,00086,00017,47130,00,4716237,안강읍 산대리,1346,0003,47130,25332,1,한동화성타운,4,28,47130-124,59.97,1346-3,47130,1,,,0
101,,"5,700",1988,2017,안현로,01486,00013,47130,01,3305037,안강읍 안강리,0424,0001,47130,25333,1,경림소망,4,12,47130-82,63.31,424-1,47130,4,,,0
102,,"13,700",2005,2017,내서로,01038,00021,47130,01,3305071,건천읍 천포리,0419,0001,47130,25625,1,서라벌명가,4,14,47130-835,84.8414,419-1,47130,7,,,0
103,,"5,100",1992,2017,내서로,01193,00000,47130,01,3305071,건천읍 조전리,0033,0004,47130,25629,1,동전맨션,4,3,47130-102,64.91,33-4,47130,4,,,0
104,,"20,800",2016,2017,용명공단길,00007,00006,47130,00,4715905,건천읍 건천리,0242,0010,47130,25631,1,해밀튼카운티,4,21,47130-1090,83.985,242-10,47130,9,,,0
105,,"5,200",1992,2017,작원5길,00026,00000,47130,01,4716027,건천읍 건천리,0180,0001,47130,25631,1,금호그린타운,4,24,47130-98,59.9,180-1,47130,5,,,0
106,,"5,750",2001,2017,작원1길,00063,00007,47130,01,4716023,건천읍 건천리,0177,0029,47130,25631,1,전원하이빌,4,30,47130-172,44.0288,177-29,47130,1,,,0
107,,"7,400",1991,2017,입실로1길,00007,00004,47130,01,4716015,외동읍 입실리,0884,0001,47130,25921,1,삼아맨션2차,4,11,47130-104,63.15,884-1,47130,6,,,0
108,,"7,800",1995,2017,산업로,01768,00016,47130,09,3000104,외동읍 모화리,0210,0000,47130,25922,1,성도대자연,4,30,47130-109,59.84,210,47130,12,,,0
109,,"8,200",1993,2017,송계길,00004,00003,47130,01,4715698,외동읍 구어리,0200,0000,47130,25932,1,벽산천마,4,11,47130-105,82.77,200,47130,15,,,0
110,,"7,600",2006,2017,안현로,00428,00004,47130,00,3305037,현곡면 라원리,0453,0002,47130,36021,1,아진하이웰빙,4,7,47130-867,59.9404,453-2,47130,5,,,
111,,"8,500",2006,2017,안현로,00428,00004,47130,00,3305037,현곡면 라원리,0453,0002,47130,36021,1,아진하이웰빙,4,26,47130-867,59.9404,453-2,47130,4,,,
112,,"23,100",2007,2017,안현로,00043,00009,47130,00,3305037,현곡면 금장리,0439,0000,47130,36027,1,세정스위츠리버,4,3,47130-895,84.7324,439,47130,4,,,
113,,"12,200",1996,2017,금장5길,00020,00012,47130,00,4715190,현곡면 금장리,0399,0002,47130,36027,1,삼성강변타운,4,11,47130-112,59.94,399-2,47130,11,,,
114,,"24,200",2006,2017,안현로,00068,00007,47130,00,3305037,현곡면 금장리,0347,0004,47130,36027,1,새한센시빌,4,11,47130-855,83.9902,347-4,47130,5,,,0
115,,"23,600",2007,2017,안현로,00043,00009,47130,00,3305037,현곡면 금장리,0439,0000,47130,36027,1,세정스위츠리버,4,12,47130-895,84.7324,439,47130,8,,,
116,,"11,700",1996,2017,금장5길,00020,00012,47130,00,4715190,현곡면 금장리,0399,0002,47130,36027,1,삼성강변타운,4,13,47130-112,59.94,399-2,47130,1,,,
117,,"22,800",1998,2017,금장5길,00034,00000,47130,00,4715190,현곡면 금장리,0369,0000,47130,36027,1,신한토탈,4,19,47130-113,113.599,369,47130,2,,,
118,,"11,100",1996,2017,금장5길,00020,00012,47130,00,4715190,현곡면 금장리,0399,0002,47130,36027,1,삼성강변타운,4,26,47130-112,59.94,399-2,47130,6,,,
119,,"7,250",1996,2017,강동로,00066,00026,47130,01,3305003,강동면 유금리,1020,0002,47130,37026,1,벽산반도,4,3,47130-114,59.48,1020-2,47130,8,,,0
120,,"3,950",1999,2017,동해대로,00166,00011,47130,01,2000023,강동면 유금리,0378,0000,47130,37026,1,위덕삼성타운,4,6,47130-183,39.9912,378,47130,2,,,0
121,,"7,200",1996,2017,강동로,00066,00026,47130,01,3305003,강동면 유금리,1020,0002,47130,37026,1,벽산반도,4,7,47130-114,59.48,1020-2,47130,2,,,0
122,,"4,250",1999,2017,동해대로,00166,00011,47130,01,2000023,강동면 유금리,0378,0000,47130,37026,1,위덕삼성타운,4,7,47130-183,39.9912,378,47130,3,,,0
123,,"9,000",1996,2017,강동로,00066,00026,47130,01,3305003,강동면 유금리,1020,0002,47130,37026,1,벽산반도,4,13,47130-114,73.45,1020-2,47130,6,,,0
124,,"5,980",1999,2017,동해대로,00166,00011,47130,01,2000023,강동면 유금리,0378,0000,47130,37026,1,위덕삼성타운,4,13,47130-183,49.528,378,47130,3,,,0
