법정동명,학원명,계열명,정원합계,주소,학원ID
전라북도 군산시,글로벌영어.수학학원,입시.검정 및 보습,400,전라북도 군산시 계산로 91,64950
전라북도 군산시,김경영어학원,입시.검정 및 보습,195,전라북도 군산시 수송로 336,64951
전라북도 군산시,김병무수학학원,입시.검정 및 보습,16,전라북도 군산시 월명로 267,64952
전라북도 군산시,김선생영수학원,입시.검정 및 보습,60,전라북도 군산시 수송로 60,64953
전라북도 군산시,김수경어학원,국제화,84,전라북도 군산시 수송로 216,64954
전라북도 군산시,김양근수학학원,입시.검정 및 보습,21,전라북도 군산시 신지길 15,64955
전라북도 군산시,김은숙피아노학원,예능(대),85,전라북도 군산시 백릉로 60,64956
전라북도 군산시,김은정피아노학원,예능(대),60,전라북도 군산시 문화로 208-8,64957
전라북도 군산시,김인희피아노학원,예능(대),50,전라북도 군산시 구암3.1로 219,64958
전라북도 군산시,김정숙무용학원,예능(대),50,전라북도 군산시 신지길 7,64959
전라북도 군산시,김준서수학학원,입시.검정 및 보습,20,전라북도 군산시 수송로 132,64960
전라북도 군산시,김태진영어전문학원,입시.검정 및 보습,80,전라북도 군산시 미룡로 11,64961
전라북도 군산시,김현아피아노스튜디오학원,예능(대),150,전라북도 군산시 신지길 25,64962
전라북도 군산시,김현초·중전과목능률주니어랩군산나운2교실학원,입시.검정 및 보습,20,전라북도 군산시 의료원로 159,64963
전라북도 군산시,김혜정피아노학원,예능(대),35,전라북도 군산시 서당길 26,64964
전라북도 군산시,끌라비에음악학원,예능(대),20,전라북도 군산시 미룡로 45,64965
전라북도 군산시,나노주산암산학원,입시.검정 및 보습,110,전라북도 군산시 나운안길 27,64966
전라북도 군산시,나라경매학원,직업기술,30,전라북도 군산시 법원로 57,64967
전라북도 군산시,나운제1서일영어학원,입시.검정 및 보습,140,전라북도 군산시 하나운로 18,64968
전라북도 군산시,나이스스터디독서실,독서실,140,전라북도 군산시 축동안2길 35,64969
전라북도 군산시,남경인피아노학원,예능(대),36,전라북도 군산시 문화로 206,64970
전라북도 군산시,내가좋아하는피아노학원,예능(대),65,전라북도 군산시 진포3길 12-1,64971
전라북도 군산시,노우스학원,입시.검정 및 보습,128,전라북도 군산시 수송로 134,64972
전라북도 군산시,눈높이러닝센터미룡학원,입시.검정 및 보습,300,전라북도 군산시 미룡로 26,64973
전라북도 군산시,눈높이러닝센터수송학원,입시.검정 및 보습,300,전라북도 군산시 수송로 133,64974
전라북도 군산시,뉴-이지독서실,독서실,124,전라북도 군산시 팔마로 138 (),64975
전라북도 군산시,뉴뮤즈피아노학원,예능(대),118,전라북도 군산시 칠성7길 56,64976
전라북도 군산시,뉴비제피아노학원,예능(대),24,전라북도 군산시 축동로 188,64977
전라북도 군산시,늘품학원,입시.검정 및 보습,60,전라북도 군산시 황룡로 53,64978
전라북도 군산시,능률주니어랩군산소룡학원,입시.검정 및 보습,260,전라북도 군산시 설림길 54-2,64979
전라북도 군산시,다울컴퓨터학원,직업기술,156,전라북도 군산시 대학로 227,64980
전라북도 군산시,대성N스쿨나운학원,입시.검정 및 보습,520,전라북도 군산시 공단대로 389,64981
전라북도 군산시,대성N스쿨미룡학원,입시.검정 및 보습,88,전라북도 군산시 공단대로 389,64982
전라북도 군산시,대성학원,입시.검정 및 보습,400,전라북도 군산시 공단대로 388,64983
전라북도 군산시,대승학원,입시.검정 및 보습,90,전라북도 군산시 수송로 257,64984
전라북도 군산시,대진학원,입시.검정 및 보습,79,전라북도 군산시 동아로 153,64985
전라북도 군산시,더베스트학원,입시.검정 및 보습,38,전라북도 군산시 신지길 9,64986
전라북도 군산시,더탑영어수학학원뮤엠영어,입시.검정 및 보습,140,전라북도 군산시 나운안길 36,64987
전라북도 군산시,더포스아카데미학원,입시.검정 및 보습,175,전라북도 군산시 동지곡길 53,64988
전라북도 군산시,덕암바둑학원,기타(대),30,전라북도 군산시 공단대로 252,64989
전라북도 군산시,도담수학전문학원,입시.검정 및 보습,13,전라북도 군산시 수송로 73,64990
전라북도 군산시,도레미학원,예능(대),25,전라북도 군산시 설림안3길 18 (),64991
전라북도 군산시,동양전산회계컴퓨터학원,종합(대),460,전라북도 군산시 대학로 195,64992
전라북도 군산시,두리컴퓨터학원,직업기술,360,전라북도 군산시 대학로 553,64993
전라북도 군산시,두몫수학과학학원,입시.검정 및 보습,84,전라북도 군산시 미룡로 46,64994
전라북도 군산시,드볼레발레전문학원,예능(대),15,전라북도 군산시 서수송1길 9,64995
전라북도 군산시,디에스수학학원,입시.검정 및 보습,76,전라북도 군산시 동아로 148,64996
전라북도 군산시,라니아무용(댄스)학원,예능(대),60,전라북도 군산시 축동안3길 24,64997
전라북도 군산시,라라엘피아노학원,예능(대),28,전라북도 군산시 해망로 606,64998
전라북도 군산시,라복임플로리스트학원,기예(대),40,전라북도 군산시 우체통거리1길 12,64999
전라북도 군산시,라시움어학원,국제화,144,전라북도 군산시 공단대로 396,65000
전라북도 군산시,라엘음악학원,예능(대),63,전라북도 군산시 신지길 15,65001
전라북도 군산시,라온에듀학원,입시.검정 및 보습,150,전라북도 군산시 수송로 215,65002
전라북도 군산시,라이트하우스인터내셔널스쿨학원,국제화,70,전라북도 군산시 수송로 133,65003
전라북도 군산시,라임피아노학원,예능(대),84,전라북도 군산시 상신4길 10,65004
전라북도 군산시,라테우스음악학원,예능(대),150,전라북도 군산시 대명길 3,65005
전라북도 군산시,랭콘잉글리쉬군산캠퍼스학원,국제화,200,전라북도 군산시 수송로 217,65006
