,0,거래금액,건축년도,년,도로명,도로명건물본번호코드,도로명건물부번호코드,도로명시군구코드,도로명일련번호코드,도로명지상지하코드,도로명코드,법정동,법정동본번코드,법정동부번코드,법정동시군구코드,법정동읍면동코드,법정동지번코드,아파트,월,일,일련번호,전용면적,지번,지역코드,층,해제사유발생일,해제여부,"1동,2동"
0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,"25,000",2005,2017,후곡로,00080,00000,41480,01,0,3206137,금촌동,0997,0000,41480,10100,1,후곡마을중앙하이츠(997-0),2,13,41480-534,101.9771,997,41480,13,,,
48,,"25,400",2005,2017,쇠재로,00030,00000,41480,01,0,3206051,금촌동,1019,0000,41480,10100,1,금촌주공7단지(1019-0),2,13,41480-240,84.8,1019,41480,15,,,
49,,"22,000",2004,2017,새꽃로,00010,00000,41480,01,0,3206045,금촌동,1022,0000,41480,10100,1,후곡마을주공6단지,2,13,41480-72,59.56,1022,41480,10,,,
50,,"21,200",2004,2017,쇠재로,00133,00000,41480,01,0,3206051,금촌동,1003,0000,41480,10100,1,쇠재마을뜨란채주공5단지,2,13,41480-71,59.06,1003,41480,18,,,
51,,"21,600",2004,2017,쇠재로,00133,00000,41480,01,0,3206051,금촌동,1003,0000,41480,10100,1,쇠재마을뜨란채주공5단지,2,13,41480-71,59.06,1003,41480,19,,,
52,,"25,000",2004,2017,후곡로,00050,00000,41480,01,0,3206137,금촌동,0992,0000,41480,10100,1,후곡마을뜨란채주공4단지,2,13,41480-70,84.87,992,41480,5,,,
53,,"24,100",2004,2017,번영로,00055,00000,41480,01,0,3206113,금촌동,0972,0000,41480,10100,1,새꽃마을뜨란채(972-0),2,13,41480-68,84.98,972,41480,16,,,
54,,"15,000",1997,2017,한마음1길,00025,00000,41480,01,0,4418851,금촌동,0922,0000,41480,10100,1,주공(922-0),2,13,41480-26,59.98,922,41480,3,,,
55,,"16,000",1997,2017,한마음1길,00025,00000,41480,01,0,4418851,금촌동,0922,0000,41480,10100,1,주공(922-0),2,14,41480-26,59.98,922,41480,12,,,
56,,"21,100",2004,2017,쇠재로,00133,00000,41480,01,0,3206051,금촌동,1003,0000,41480,10100,1,쇠재마을뜨란채주공5단지,2,14,41480-71,59.06,1003,41480,19,,,
57,,"23,500",2004,2017,번영로,00055,00000,41480,01,0,3206113,금촌동,0972,0000,41480,10100,1,새꽃마을뜨란채(972-0),2,14,41480-68,84.98,972,41480,3,,,
58,,"24,000",2004,2017,번영로,00055,00000,41480,01,0,3206113,금촌동,0972,0000,41480,10100,1,새꽃마을뜨란채(972-0),2,15,41480-68,84.98,972,41480,8,,,
59,,"13,500",1995,2017,정담길,00085,00008,41480,01,0,4418712,금촌동,0023,0000,41480,10100,1,동문2차아파트301동,2,15,,59.76,23,41480,6,,,
60,,"20,000",2006,2017,금신초교길,00072,00000,41480,01,0,4418069,금촌동,1014,0000,41480,10100,1,한일유앤아이1차(1014-0),2,15,41480-550,74.8794,1014,41480,14,,,
61,,"18,000",2000,2017,문화로,00010,00000,41480,01,0,3206112,금촌동,0792,0001,41480,10100,1,장안7밀레니엄(792-1),2,16,41480-23,84.97,792-1,41480,11,,,
62,,"19,700",2004,2017,새꽃로,00010,00000,41480,01,0,3206045,금촌동,1022,0000,41480,10100,1,후곡마을주공6단지,2,16,41480-72,51.67,1022,41480,10,,,
63,,"23,800",2004,2017,번영로,00055,00000,41480,01,0,3206113,금촌동,0972,0000,41480,10100,1,새꽃마을뜨란채(972-0),2,16,41480-68,84.98,972,41480,4,,,
64,,"14,900",1997,2017,한마음1길,00025,00000,41480,01,0,4418851,금촌동,0922,0000,41480,10100,1,주공(922-0),2,17,41480-26,49.97,922,41480,5,,,
65,,"26,300",2005,2017,쇠재로,00030,00000,41480,01,0,3206051,금촌동,1019,0000,41480,10100,1,금촌주공7단지(1019-0),2,17,41480-240,84.8,1019,41480,10,,,
66,,"21,450",2004,2017,쇠재로,00133,00000,41480,01,0,3206051,금촌동,1003,0000,41480,10100,1,쇠재마을뜨란채주공5단지,2,17,41480-71,59.72,1003,41480,11,,,
67,,"25,000",2004,2017,번영로,00055,00000,41480,01,0,3206113,금촌동,0972,0000,41480,10100,1,새꽃마을뜨란채(972-0),2,17,41480-68,84.98,972,41480,13,,,
68,,"16,950",1994,2017,황골로,00026,00000,41480,01,0,3206104,금촌동,0230,0001,41480,10100,1,장미1(230-1),2,18,41480-19,84.42,230-1,41480,10,,,
69,,"32,000",2005,2017,후곡로,00077,00000,41480,01,0,3206137,금촌동,1008,0000,41480,10100,1,풍림아이원(1008-0),2,18,41480-518,124.0861,1008,41480,9,,,
70,,"24,900",2004,2017,후곡로,00050,00000,41480,01,0,3206137,금촌동,0992,0000,41480,10100,1,후곡마을뜨란채주공4단지,2,18,41480-70,84.88,992,41480,3,,,
71,,"15,100",1997,2017,한마음1길,00025,00000,41480,01,0,4418851,금촌동,0922,0000,41480,10100,1,주공(922-0),2,18,41480-26,59.98,922,41480,2,,,
72,,"19,950",1998,2017,황골로,00018,00000,41480,01,0,3206104,금촌동,0228,0001,41480,10100,1,건일장미(228-1),2,20,41480-9,84.87,228-1,41480,8,,,
73,,"25,000",2004,2017,후곡로,00050,00000,41480,01,0,3206137,금촌동,0992,0000,41480,10100,1,후곡마을뜨란채주공4단지,2,20,41480-70,75.79,992,41480,8,,,
74,,"15,000",1997,2017,한마음1길,00025,00000,41480,01,0,4418851,금촌동,0922,0000,41480,10100,1,주공(922-0),2,20,41480-26,49.97,922,41480,14,,,
75,,"14,700",1997,2017,한마음1길,00025,00000,41480,01,0,4418851,금촌동,0922,0000,41480,10100,1,주공(922-0),2,20,41480-26,49.97,922,41480,13,,,
76,,"16,000",1997,2017,한마음1길,00025,00000,41480,01,0,4418851,금촌동,0922,0000,41480,10100,1,주공(922-0),2,20,41480-26,59.98,922,41480,11,,,
77,,"15,300",1997,2017,한마음1길,00025,00000,41480,01,0,4418851,금촌동,0922,0000,41480,10100,1,주공(922-0),2,20,41480-26,59.98,922,41480,15,,,
78,,"12,500",1990,2017,중앙로,00226,00000,41480,01,0,3206129,금촌동,0781,0002,41480,10100,1,동현(781-2),2,20,41480-14,53.51,781-2,41480,3,,,
79,,"12,400",1999,2017,정담길,00123,00000,41480,01,0,4418712,금촌동,0424,0009,41480,10100,1,경신(424-9),2,20,41480-10,53.79,424-9,41480,17,,,
80,,"14,200",1999,2017,정담길,00123,00000,41480,01,0,4418712,금촌동,0424,0009,41480,10100,1,경신(424-9),2,20,41480-10,59.85,424-9,41480,8,,,
81,,"16,100",1999,2017,정담길,00123,00000,41480,01,0,4418712,금촌동,0424,0009,41480,10100,1,경신(424-9),2,20,41480-10,84.75,424-9,41480,3,,,
82,,"15,000",1997,2017,한마음1길,00025,00000,41480,01,0,4418851,금촌동,0922,0000,41480,10100,1,주공(922-0),2,21,41480-26,49.97,922,41480,10,,,
83,,"21,500",2004,2017,쇠재로,00133,00000,41480,01,0,3206051,금촌동,1003,0000,41480,10100,1,쇠재마을뜨란채주공5단지,2,21,41480-71,59.06,1003,41480,12,,,
84,,"21,300",2004,2017,쇠재로,00133,00000,41480,01,0,3206051,금촌동,1003,0000,41480,10100,1,쇠재마을뜨란채주공5단지,2,21,41480-71,59.06,1003,41480,20,,,
85,,"19,400",2004,2017,쇠재로,00133,00000,41480,01,0,3206051,금촌동,1003,0000,41480,10100,1,쇠재마을뜨란채주공5단지,2,21,41480-71,59.06,1003,41480,1,,,
86,,"26,500",2004,2017,후곡로,00050,00000,41480,01,0,3206137,금촌동,0992,0000,41480,10100,1,후곡마을뜨란채주공4단지,2,21,41480-70,84.87,992,41480,11,,,
87,,"25,450",2004,2017,후곡로,00050,00000,41480,01,0,3206137,금촌동,0992,0000,41480,10100,1,후곡마을뜨란채주공4단지,2,21,41480-70,84.87,992,41480,13,,,
88,,"18,500",1997,2017,황골로,00022,00000,41480,01,0,3206104,금촌동,0233,0006,41480,10100,1,장미3(233-6),2,22,41480-21,84.96,233-6,41480,5,,,
89,,"32,000",2005,2017,후곡로,00077,00000,41480,01,0,3206137,금촌동,1008,0000,41480,10100,1,풍림아이원(1008-0),2,22,41480-518,124.0861,1008,41480,15,,,
90,,"26,500",2005,2017,쇠재로,00030,00000,41480,01,0,3206051,금촌동,1019,0000,41480,10100,1,금촌주공7단지(1019-0),2,22,41480-240,84.03,1019,41480,12,,,
91,,"21,500",2004,2017,쇠재로,00133,00000,41480,01,0,3206051,금촌동,1003,0000,41480,10100,1,쇠재마을뜨란채주공5단지,2,22,41480-71,59.72,1003,41480,7,,,
92,,"20,400",2004,2017,쇠재로,00133,00000,41480,01,0,3206051,금촌동,1003,0000,41480,10100,1,쇠재마을뜨란채주공5단지,2,22,41480-71,59.92,1003,41480,19,,,
93,,"20,700",2004,2017,쇠재로,00133,00000,41480,01,0,3206051,금촌동,1003,0000,41480,10100,1,쇠재마을뜨란채주공5단지,2,22,41480-71,59.06,1003,41480,9,,,
94,,"19,000",2004,2017,쇠재로,00133,00000,41480,01,0,3206051,금촌동,1003,0000,41480,10100,1,쇠재마을뜨란채주공5단지,2,22,41480-71,59.94,1003,41480,23,,,
95,,"21,600",2004,2017,쇠재로,00133,00000,41480,01,0,3206051,금촌동,1003,0000,41480,10100,1,쇠재마을뜨란채주공5단지,2,23,41480-71,59.06,1003,41480,11,,,
96,,"25,000",2004,2017,후곡로,00050,00000,41480,01,0,3206137,금촌동,0992,0000,41480,10100,1,후곡마을뜨란채주공4단지,2,24,41480-70,84.87,992,41480,4,,,
97,,"16,700",1999,2017,정담길,00123,00000,41480,01,0,4418712,금촌동,0424,0009,41480,10100,1,경신(424-9),2,25,41480-10,84.75,424-9,41480,17,,,
98,,"23,800",2007,2017,금신초교길,00056,00000,41480,01,0,4418069,금촌동,1014,0001,41480,10100,1,한일 유앤아이2차(1014-1),2,25,41480-567,84.9256,1014-1,41480,12,,,
99,,"21,000",2004,2017,번영로,00055,00000,41480,01,0,3206113,금촌동,0972,0000,41480,10100,1,새꽃마을뜨란채(972-0),2,25,41480-68,59.98,972,41480,10,,,
100,,"16,500",1997,2017,한마음1길,00025,00000,41480,01,0,4418851,금촌동,0922,0000,41480,10100,1,주공(922-0),2,25,41480-26,59.98,922,41480,8,,,
101,,"17,300",1996,2017,황골로,00012,00000,41480,01,0,3206104,금촌동,0230,0002,41480,10100,1,장미2(230-2),2,25,41480-20,84.96,230-2,41480,17,,,
102,,"15,000",1997,2017,황골로,00040,00000,41480,01,0,3206104,금촌동,0234,0022,41480,10100,1,두보3(234-22),2,25,41480-17,59.78,234-22,41480,5,,,
