,역번호,역사명,노선번호,노선명,환승역구분,환승노선번호,환승노선명,역위도,역경도,주소,시도코드,시군구코드,법정동코드,환승노선개수
67,0315,무악재,S1103,서울 도시철도 3호선,일반역,,,37.58211864,126.9501814,서울특별시 서대문구,11,11130,1141000000,0
68,0316,독립문,S1103,서울 도시철도 3호선,일반역,,,37.57448506,126.9578508,서울특별시 서대문구,11,11130,1141000000,0
69,0317,경복궁,S1103,서울 도시철도 3호선,일반역,,,37.57560542,126.9734832,서울특별시 종로구,11,11010,1111000000,0
70,0318,안국,S1103,서울 도시철도 3호선,일반역,,,37.57666379,126.9854787,서울특별시 종로구,11,11010,1111000000,0
71,0319,종로3가,S1103,서울 도시철도 3호선,환승역,S1101+S1105,서울 도시철도 1호선+서울 도시철도 6호선,37.57139366,126.9914115,서울특별시 종로구,11,11010,1111000000,2
72,0320,을지로3가,S1103,서울 도시철도 3호선,환승역,S1102,서울 도시철도 2호선,37.56634826,126.991482,서울특별시 중구,11,11020,1114000000,1
73,0321,충무로,S1103,서울 도시철도 3호선,환승역,S1104,서울 도시철도 4호선,37.56140209,126.9943556,서울특별시 중구,11,11020,1114000000,1
74,0322,동대입구,S1103,서울 도시철도 3호선,일반역,,,37.55883276,127.0052813,서울특별시 중구,11,11020,1114000000,0
75,0323,약수,S1103,서울 도시철도 3호선,일반역,,,37.5544519,127.0104682,서울특별시 중구,11,11020,1114000000,0
76,0324,금호,S1103,서울 도시철도 3호선,일반역,,,37.54800401,127.0156615,서울특별시 성동구,11,11040,1120000000,0
77,0325,옥수,S1103,서울 도시철도 3호선,환승역,I4107,경의중앙선,37.5414877,127.0177608,서울특별시 성동구,11,11040,1120000000,1
78,0326,압구정,S1103,서울 도시철도 3호선,일반역,,,37.52668639,127.0283697,서울특별시 강남구,11,11230,1168000000,0
79,0327,신사,S1103,서울 도시철도 3호선,일반역,,,37.51618776,127.020092,서울특별시 강남구,11,11230,1168000000,0
80,0328,잠원,S1103,서울 도시철도 3호선,일반역,,,37.51282982,127.0112442,서울특별시 서초구,11,11220,1165000000,0
81,0329,고속터미널,S1103,서울 도시철도 3호선,환승역,S1107+S1109,서울 도시철도 7호선+서울 도시철도 9호선,37.50436623,127.0049403,서울특별시 서초구,11,11220,1165000000,2
82,0330,교대,S1103,서울 도시철도 3호선,환승역,S1103,서울 도시철도 3호선,37.49320061,127.0140237,서울특별시 서초구,11,11220,1165000000,1
83,0331,남부터미널,S1103,서울 도시철도 3호선,일반역,,,37.48482472,127.0161898,서울특별시 서초구,11,11220,1165000000,0
84,0332,양재,S1103,서울 도시철도 3호선,환승역,I1102,신분당선,37.48381174,127.0345768,서울특별시 서초구,11,11220,1165000000,1
